Discipline,FY,financial_Table,Category,Description,Amount
FM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Qtr #1 Salary and Benefits for Newman, Gabriella Rebeca ",18314
FM,1819,col 2,"Salaries, Benefits and Wages for Residents"," Qtr #2 Salary and Benefits for Newman, Gabriela (Partial total for Qtr was $21,367) ",19186
IM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",120000
IM,1920,col 1,Contractual Consultant Costs," Consultant started creating curricula for new healthcare leadership and advocacy track. This consultant began working on the outline for the course, doing surveys, attending meetings, research into the field and giving recommendations for design of course ",27933.07
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", 07/01/21 - 12/31/21 Emily Serna Salaries ,20508.64
FM,2021,col 2,"Salaries, Benefits and Wages for Residents"," 07/01/21 - 12/31/21 Emily Serna Fringe Benefits, 21.9% ",4491.36
FM,2021,col 1,"Salaries, Benefits and Wages for Faculty", Payment to FQHC Petaluma Health Center to cover precepting costs ,37500
FM,2021,col 1,Medical Equipment, Video Otoscope (for training in FMC) ,91.72
FM,2021,col 2,"Memberships, Subscriptions and Professional Activity Costs", CRN (AAFP) Membership for program ,735
FM,2021,col 3,"Memberships, Subscriptions and Professional Activity Costs", ACOG Clinical Subscription ,230
FM,2021,col 4,"Memberships, Subscriptions and Professional Activity Costs", STFM Curriculum and Resources (annual subscription) ,1800
FM,2021,col 5,Non-Medical Benefits, Program Jackets - residents ,1708
FM,2021,col 6,Non-Medical Benefits, Program Jackets - faculty ,408.88
FM,2021,col 7,Training and Education Costs, Case file books (for didactics) ,84.64
FM,2021,col 8,Training and Education Costs, Bates Guide to Physical Examination and History Taking (book for FMC library) ,76.7
FM,2021,col 9,Travel Conferences, Board Review Course - PGY3 Class ,6405
FM,2021,col 10,Faculty Development, POCUS Training Modules for FM Faculty ,402
FM,2021,col 11,Training and Education Costs, Pocket Medicine Book - for interns ,106.33
FM,2021,col 12,Travel Conferences, 2021 FM Program Retreat ,2404.68
FM,2021,col 13,Meals, 2021 FM Program Retreat Dinner ,649.87
FM,2021,col 14,Non-Medical Benefits, PGY1 Wellness Day Lunch and activity ,676.73
FM,2021,col 15,Meals, Program Wellness Activity Lunch ,663.05
FM,2021,col 16,Travel Conferences, ACGME Conference Registration for Program Coordinator ,345
FM,2021,col 17,Training and Education Costs, Bight Futures (Pediatric Guideline) Books for interns ,167.16
FM,2021,col 18,Meals, Lunch for Program Evaluation Committee ,69.91
FM,2021,col 19,Non-Medical Benefits, PGY2 Wellness Day Activity and Lunch ,900
FM,2021,col 20,Non-Medical Benefits, PGY3 Wellness Day Activity and Meal ,606.52
FM,2021,col 21,Meals, Faculty Development session dinner ,75.81
FM,2021,col 22,Training and Education Costs, Holocron - US Fundamentals + Core Q-Bank (for ultrasound rotation - 7 PGY2 residents) ,693
FM,2021,col 23,Licensing Fees, ACGME Program Dues ,5700
FM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",30000
FM,1819,col 1,"Salaries, Benefits and Wages for Faculty", 07/21 - 12/21 Salaries/Benefits/Wages for Faculty ,27830.39
FM,1819,col 2,"Salaries, Benefits and Wages for Residents", 07/21-12/21 Salaries/Benefits/Wages for Residents ,38617.85
FM,1819,col 3,Unused Funds, Funds allocated towards upcoming purchase of new colposcopy training machine ,8551.76
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident salary ,55000
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", 07/01/21 - 12/31/21 Louie Rodriguez Salaries ,26696.14
FM,1819,col 2,"Salaries, Benefits and Wages for Residents", 07/01/21 - 12/31/21 Louie Rodriguez Fringe Benefits ,5846.47
FM,1819,col 3,Insurance, 07/01/21 - 12/31/21 Malpractice Insurance ,4957.39
FM,1819,col 4,Unused Funds, 01/01/22 - 06/30/22 Louie Rodriguez Salaries ,13524.93
FM,1819,col 5,Unused Funds, 01/01/22 - 06/30/22 Louie Rodriguez Fringe Benefits ,2961.77
FM,1819,col 6,Unused Funds, 01/01/22 - 06/30/22 Malpractice Insurance ,2263.3
IM,1920,col 1,"Salaries, Benefits and Wages for Faculty", GME Salary Support for IM Program Director Dr. Jose Penaherrera ,75000
IM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Salaries, benefits and wages for residents ",16434
IM,1920,col 2,Insurance, Malpractice insurance ,433
IM,1920,col 3,Training and Education Costs, Inservice exams ,3120
IM,1920,col 4,Contractual Consultant Costs," Faculty are contractual, not salaried ",2293
IM,1920,col 5,Meals, 3 meals/day x 180 days x 5 residents ,2125
IM,1920,col 6,"Memberships, Subscriptions and Professional Activity Costs"," Program Director memberships (AOGME, ACOI) ",595
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", Chief Resident Salary ,50000
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", from 7/1/2021-12/31/2021 ,50000
IM,1920,col 2,"Salaries, Benefits and Wages for Residents", from 7/1/2021-12/31/2021 ,50000
IM,1920,col 1,Licensing Fees, Resident DEA License ,888
IM,1920,col 2,Training and Education Costs, MKAP Subscription ,349
IM,1920,col 3,Training and Education Costs, COMLEX Examination ,640
IM,1920,col 4,Training and Education Costs, COMLEX Examination ,640
IM,1920,col 5,Travel Conferences, Flight Reimubrsement for Conference Presentation ,333.96
IM,1920,col 6,Training and Education Costs, COMLEX Examination ,890
IM,1920,col 7,Travel Conferences, Poster Prints for Conference Presentation ,227
IM,1920,col 8,Travel Conferences, Hotel for Conference Presentation ,759.65
IM,1920,col 9,Training and Education Costs, USMLE Examination ,895
IM,1920,col 10,Training and Education Costs, USMLE Examination ,895
IM,1920,col 11,Travel Conferences, Flight for Conference Presentation ,433.97
IM,1920,col 12,Travel Conferences, Hotel for Conference Presentation ,770.99
IM,1920,col 13,Medical Equipment, Point of Care Ultrasound Devices ,49625.35
IM,1920,col 14,Unused Funds, Unused funds ,2652.08
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", Wellness ,20000
IM,1920,col 2,Meals," Resident badge money, clinic snacks ",2920
IM,1920,col 3,"Memberships, Subscriptions and Professional Activity Costs"," ACP MKSAP, New England Journal of Medicine and ACP renewals ",16175
IM,1920,col 4,Faculty Development, POCUS conference Dr. Rizvi ,1650
IM,1920,col 5,Information Technology (IT) Systems, Resident rounding space computers ,24328.29
IM,1920,col 6,"Salaries, Benefits and Wages for Other GME Staff", .25% DIO Salary ,39270
IM,1920,col 7,"Salaries, Benefits and Wages for Faculty", .50% APD Salary Dr. Ansari ,80079.96
IM,1920,col 8,"Memberships, Subscriptions and Professional Activity Costs", Recruitment virtual support ,6500
IM,1920,col 9,"Memberships, Subscriptions and Professional Activity Costs", GME IM Marketing recruitment items ,2304.81
IM,1920,col 10,Unused Funds," Description, ",5.58
FM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Salary for training period July-December 2021 for Michelle Lim, DO ",31500
FM,1819,col 2,"Memberships, Subscriptions and Professional Activity Costs", Under Represented in Medicine (IRiM) scholarships for 4th year medical students Patricia Matus and Quan Tran ,6000
OBGYN,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Stipend Support ,80000
FM,2021,col 1,Unused Funds, to be used for community health fellow ,25000
OBGYN,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,10625
OBGYN,1920,col 2,Unused Funds, Unspent Funds ,193125
Peds,1920,col 1,"Salaries, Benefits and Wages for Residents"," Description, ",150000
OBGYN,1920,col 1,Faculty Development, Faculty development in Implementation Science ,15866
OBGYN,1920,col 2,Medical Equipment, Ultrasound machine resident teaching in the ambulatory setting ,22000
OBGYN,1920,col 3,"Salaries, Benefits and Wages for Faculty", Fellowship Director salary and benefits (0.1 FTE) ,2041.91
OBGYN,1920,col 4,"Salaries, Benefits and Wages for Faculty", Fellowship Director salary and benefits (0.1 FTE) ,2041.91
OBGYN,1920,col 5,"Salaries, Benefits and Wages for Faculty", Fellowship Director salary and benefits (0.1 FTE) ,2041.91
OBGYN,1920,col 6,Training and Education Costs, Supplies for didactic teaching ,500
OBGYN,1920,col 7,Unused Funds, Planning to buy simulation equipment for resident teaching including hospital bed that breaks down to be able to teach vaginal delivery techniques ,11749.05
FM,2021,col 1,"Salaries, Benefits and Wages for Faculty"," Salaries and benefits for Willard Chung, Christine Ragay, Charles R. Merrill, John A. Campbell, Thomas M. Dawes, Jr, Robert Firestone, Anne Kennard, Scott Piazza, Victor Pulido, Luke Rawlings, Lisa Ryan ",25000
Peds,1920,col 1,"Salaries, Benefits and Wages for Residents"," The $30,000 funds were used to support the 8th intern position's salary and benefits from July 1, 2021 to December 31, 2021 ",30000
Peds,1920,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",125000
Peds,1920,col 1,"Salaries, Benefits and Wages for Other GME Staff"," Chiyah Lawrence, PsyD ",76527.9
Peds,1920,col 2,"Salaries, Benefits and Wages for Other GME Staff", Kathy Garcia ,13089.58
Peds,1920,col 3,Training and Education Costs, Training Intern Readiness ,5355
Peds,1920,col 4,"Memberships, Subscriptions and Professional Activity Costs", Zoom Subscription ,319.29
Peds,1920,col 5,Meals, Conference Meals ,900
Peds,1920,col 6,Unused Funds, unused- ,46727.93
FM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",37500
OBGYN,1920,col 1,"Salaries, Benefits and Wages for Residents", Portion of benefits and salaries for 4 residents ,105000
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Education Stipend - Petrosyan ,58.05
FM,2021,col 2,"Salaries, Benefits and Wages for Residents", Education Stipend - Gowdar ,58.05
FM,2021,col 3,Licensing Fees, PTL App Fee - Modi ,491
FM,2021,col 4,Licensing Fees, PTL App Fee - Tung ,491
FM,2021,col 5,Licensing Fees, PTL App Fee - K. Dhillon ,491
FM,2021,col 6,Licensing Fees, PTL App Fee - Gowdar ,195
FM,2021,col 7,Training and Education Costs, USMLE Step 3 Fee - Modi ,895
FM,2021,col 8,Training and Education Costs, COMLEX Step 3 Fee - Vang ,895
FM,2021,col 9,"Salaries, Benefits and Wages for Residents", Education Stipend - Gowdar ,393.49
FM,2021,col 10,"Salaries, Benefits and Wages for Residents", Education Stipend - Tung ,308.11
FM,2021,col 11,"Salaries, Benefits and Wages for Residents", Education Stipend - Kabellis ,130
FM,2021,col 12,"Salaries, Benefits and Wages for Residents", Education Stipend - Gowdar ,118.51
FM,2021,col 13,"Salaries, Benefits and Wages for Residents", Education Stipend - Petrosyan ,329.98
FM,2021,col 14,"Salaries, Benefits and Wages for Residents", Education Stipend - Gowdar ,274.98
FM,2021,col 15,"Salaries, Benefits and Wages for Residents", Education Stipend - Petrosyan ,379
FM,2021,col 16,"Salaries, Benefits and Wages for Residents", Education Stipend - Modi ,446
FM,2021,col 17,Licensing Fees, PTL App Fee ,540
FM,2021,col 18,"Salaries, Benefits and Wages for Residents", Education Stipend - Gowdar ,323.45
FM,2021,col 19,"Salaries, Benefits and Wages for Residents", Education Stipend - Gaerlan ,500.75
FM,2021,col 20,"Salaries, Benefits and Wages for Residents", Education Stipend - Tung ,449
FM,2021,col 21,"Salaries, Benefits and Wages for Residents", Education Stipend - Kabellis ,399
FM,2021,col 22,"Salaries, Benefits and Wages for Faculty", Faculy Wages ,7000
FM,2021,col 23,"Salaries, Benefits and Wages for Residents", Resident Wages ,5000
FM,2021,col 24,"Salaries, Benefits and Wages for Other GME Staff", Staff Wages ,3807.54
FM,2021,col 25,Meals, Wellness Lunch ,296.11
FM,2021,col 26,Meals, Cookies for meet &amp; greet ,14.98
FM,2021,col 27,"Memberships, Subscriptions and Professional Activity Costs", AAFP Membership ,640
FM,2021,col 28,Non-Medical Benefits, Wellness Yoga ,75
Peds,1920,col 1,"Salaries, Benefits and Wages for Residents", Salaries and benefits for 5 residents 9/2021-1/2022 ,102535.74
FM,1819,col 1,"Salaries, Benefits and Wages for Other GME Staff", Residency Administrative Staff ,984.21
FM,1819,col 2,"Salaries, Benefits and Wages for Other GME Staff", Residency Administrative Staff ,1813.64
FM,1819,col 3,"Salaries, Benefits and Wages for Other GME Staff", Residency Administrative Staff ,1769.84
FM,1819,col 4,"Salaries, Benefits and Wages for Other GME Staff", Residency Administrative Staff ,1937.3
FM,1819,col 5,"Salaries, Benefits and Wages for Other GME Staff", Residency Administrative Staff ,1931.48
FM,1819,col 6,Travel Conferences, STFM Conference registration for faculty ,4500
FM,1819,col 7,"Memberships, Subscriptions and Professional Activity Costs", CAFP Resident membership dues ,1440
FM,1819,col 8,"Memberships, Subscriptions and Professional Activity Costs", STFM Membership Dues for Faculty ,360
FM,1819,col 9,"Memberships, Subscriptions and Professional Activity Costs", AAFP Resident Membership Dues ,960
FM,1819,col 10,"Memberships, Subscriptions and Professional Activity Costs", AFMRD Dues for Program Director and Assistant Program Directors ,1155
FM,1819,col 11,Training and Education Costs, NRP Certification training for residents ,490
FM,1819,col 12,Training and Education Costs, Resident coverage to attend resident retreat ,5400
FM,1819,col 13,Insurance, Fellow Insurance ,2310
FM,1819,col 14,Faculty Development, Faculty Development Activities &amp; supplies for July - Dec 2021 ,2847.57
FM,1819,col 15,"Salaries, Benefits and Wages for Faculty", Salary for Community Health Jr faculty ,6582.8
FM,1819,col 16,"Salaries, Benefits and Wages for Faculty", Salary for community health jr faculty ,4591.31
FM,1819,col 17,"Salaries, Benefits and Wages for Faculty", Salary for community health jr faculty ,2275.4
FM,1819,col 18,"Salaries, Benefits and Wages for Faculty", Salary for community health jr faculty ,2275.4
FM,1819,col 19,"Salaries, Benefits and Wages for Faculty", Salary for community health jr faculty ,2275.4
FM,1819,col 20,Contractual Consultant Costs, Consultant - Advant Enterprises ,1125
FM,1819,col 21,Meals, Meals for resident and faculty activities for July-Dec 2021 ,2769
FM,1819,col 22,Training and Education Costs, Resident Retreat Speaker from Institute for Democracy ,3500
FM,1819,col 23,Information Technology (IT) Systems, Qgenda scheduling system ,750.3
FM,1819,col 24,Information Technology (IT) Systems, Audio-visual rental for presentation at resident graduation ,2400.31
FM,1819,col 25,Information Technology (IT) Systems, Cisco phone system accessory ,119.86
FM,1819,col 26,"Salaries, Benefits and Wages for Faculty", Salary for community health jr faculty ,2275.4
FM,1819,col 27,Unused Funds, Funds to be used by 6/31/22 for resident wellness activities ,14476.17
OBGYN,1920,col 1,"Salaries, Benefits and Wages for Residents"," Funds used for resident salaries, benefits and wages. ",110000
OBGYN,1920,col 1,"Salaries, Benefits and Wages for Faculty"," Faculty wages and benefits for OB-GYN Residency Program Physicians: Stephanie Lin, Anne Kennard, Danielle Feldman, Brett Lebed, Jonathan Tammela, Mona Bazagan, Tad Callahan, Brian Crisp, Jade Mas, Larry Shields, Elaine Yin, and Eli Zinner ",112500
OBGYN,1920,col 1,"Memberships, Subscriptions and Professional Activity Costs", AAGL Membership -- J Lou ,350
OBGYN,1920,col 2,"Memberships, Subscriptions and Professional Activity Costs", Subscription - JMIG - J Lou ,457
OBGYN,1920,col 3,"Memberships, Subscriptions and Professional Activity Costs", AAGL Membership - W Lee ,350
OBGYN,1920,col 4,"Memberships, Subscriptions and Professional Activity Costs", AAGL Group Membership - Dept ,350
OBGYN,1920,col 5,Training and Education Costs, Stanford Faculty Development Seminar - 7 Faculty ,2100
OBGYN,1920,col 6,Travel Conferences, UCSF Faculty Development Conf - Registration - J Domingo ,300
OBGYN,1920,col 7,Unused Funds, OB Simulation Equipment ( ~ 30K - 10% of grant); Faculty Development / Conferences ~ 25K; Journal Publication fees~ 10K; Faculty Wellness ,120393
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", Education Stipend - Shan ,1000
FM,1819,col 2,"Salaries, Benefits and Wages for Residents", Education Stipend - Licup ,888
FM,1819,col 3,Training and Education Costs, ABFM ITE Fee ,1200
FM,1819,col 4,Training and Education Costs, OB Training Book ,139.47
FM,1819,col 5,"Salaries, Benefits and Wages for Residents", Education Stipend - Kim ,635
FM,1819,col 6,"Memberships, Subscriptions and Professional Activity Costs", NEJM Membership ,3640
FM,1819,col 7,Meals, Recruitment Meet &amp; Greet ,408.88
FM,1819,col 8,Non-Medical Benefits, Swags for Recruitment Season ,5883.37
FM,1819,col 9,"Salaries, Benefits and Wages for Residents", Education Stipend - Chhaganlal ,1000
FM,1819,col 10,"Salaries, Benefits and Wages for Residents", Education Stipend - Tangonan ,1000
FM,1819,col 11,Meals, Recruitment Meet &amp; Greet ,180
FM,1819,col 12,"Salaries, Benefits and Wages for Faculty", Faculty Salaries ,10000
FM,1819,col 13,"Salaries, Benefits and Wages for Other GME Staff", Staff Salaries ,4385.03
FM,1819,col 14,"Salaries, Benefits and Wages for Residents", Resident Salaries &amp; Benefits ,8000
Peds,1920,col 1,"Salaries, Benefits and Wages for Residents", 07/01/2021-12/31/2021 resident salaries for 5 residents ,162240
Peds,1920,col 2,"Salaries, Benefits and Wages for Residents", 07/01/2021-12/31/2021 benefits for 5 residents ,25260
FM,2021,col 1,Unused Funds," Description, ",25000
FM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Salaries, Benefits and wages ",20000
FM,2021,col 2,Training and Education Costs," Ultrasound, pelvic model and accessories, additional procedural training materials ",5000
OBGYN,1920,col 1,"Salaries, Benefits and Wages for Faculty", Salary Dancz and Hur ,37029.61
OBGYN,1920,col 2,Travel Conferences," Conference: Klooster, Violette, Hur, Ciesielski ",4630.31
OBGYN,1920,col 3,"Memberships, Subscriptions and Professional Activity Costs", Truelearn and Membership Fees ,10194
OBGYN,1920,col 4,Unused Funds," Description, ",2914.28
FM,2021,col 1,"Salaries, Benefits and Wages for Other GME Staff"," Supplement Salaries, Benefits &amp; Wages for Residency Coordinator and other GME Office Staff ",30000
FM,1920,col 1,Training and Education Costs, Life Support Training- Orientation ,4400
FM,1920,col 2,"Memberships, Subscriptions and Professional Activity Costs", AAFP membership- interns ,320
FM,1920,col 3,"Salaries, Benefits and Wages for Residents", Benefits for Residents ,1366.48
FM,1920,col 4,Training and Education Costs, ITE exams ,1200
FM,1920,col 5,Meals," Meals- Trainings, Orientation ",3957.36
FM,1920,col 6,Non-Medical Benefits, Supplies contributing to wellbeing of residents ,3266.06
FM,1920,col 7,Contractual Consultant Costs, Dr. Lyons- Beh Health Specialist July- Dec ,25447
FM,1920,col 8,Contractual Consultant Costs, DIO is on contract- 1/4 salary from July-Dec ,19635
FM,1920,col 9,Training and Education Costs, Fam Med Boards Exam costs for 3rd years ,9100
FM,1920,col 10,Training and Education Costs, POCUS training - faculty member ,190.84
FM,1920,col 11,"Memberships, Subscriptions and Professional Activity Costs"," AAFP, CAFP, ZOOM, yearly subscriptions ",2543.69
FM,1920,col 12,Training and Education Costs, Derm Boot Camp Online training ,2499
FM,1920,col 13,Training and Education Costs, New Innovations ,918
FM,1920,col 14,Unused Funds," Description, ",174.49
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Funds applied to resident salaries ,25000
Peds,1920,col 1,"Salaries, Benefits and Wages for Residents"," Salary, Benefits and Housing Stipend for Residents 07/01/2021-12/31/2021 ",1.00E+05
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Provided $31,000 toward salaries and $6,500 toward benefits for 3 residents at 0.16 FTE per resident for a total of 0.49 FTE. ",37500
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Funds used to support resident, including stipends and medical benefits ",75000
FM,1819,col 1,Non-Medical Benefits, FM Resident Fitness and Burnout Prevention Device ,9790.76
FM,1819,col 2,"Memberships, Subscriptions and Professional Activity Costs", Program Director Licensing Fees ,1300
FM,1819,col 3,Faculty Development, ASCCP Course for Faculty ,8100
FM,1819,col 4,Faculty Development, OB Ultrasound Training ,5000
FM,1819,col 5,Licensing Fees, Faculty License Renewal ,830
FM,1819,col 6,Training and Education Costs, AAFP Resident Course ,475
FM,1819,col 7,Travel Conferences, Leadership Conference and Symposium ,9164.02
FM,1819,col 8,Non-Medical Benefits, Resident Health Counseling ,825
FM,1819,col 9,Licensing Fees, Primary Family Medicine Application Fee ,1300
FM,1819,col 10,"Memberships, Subscriptions and Professional Activity Costs", AAFP Skin Conditions and Diseases Online Package 4th Edition ,475
FM,1819,col 11,"Memberships, Subscriptions and Professional Activity Costs", AAFP Skin Conditions and Diseases Online Package 4th Edition ,475
FM,1819,col 12,"Memberships, Subscriptions and Professional Activity Costs", AAFP Geriatric Medicine Self-Study Package Online Access-11th Edition ,395
FM,1819,col 13,"Memberships, Subscriptions and Professional Activity Costs", AAFP Geriatric Medicine Self-Study Package Online Access-11th Edition ,395
FM,1819,col 14,"Salaries, Benefits and Wages for Residents", Remaining Funds from CMF added to resident salary ,111475.22
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", 61.33% of Salaries for four residents for period 7/1/2021-12/31/2021 ,74893
IM,1920,col 2,"Salaries, Benefits and Wages for Residents", 61.33% of Benefits for four residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,22618
IM,1920,col 3,"Salaries, Benefits and Wages for Faculty", 61.33% of total Salaries and Wages for Program Director allocated to four residents for period 7/1/2021-12/31/2021. ,7432
IM,1920,col 4,Contractual Consultant Costs, 61.33% of total contractual fees paid to faculty allocated to four residents for period 7/1/2021-12/31/2021. ,27952
IM,1920,col 5,Information Technology (IT) Systems, 61.33% of total IT expenses allocated to four residents for period 7/1/2021-12/31/2021. ,6932
IM,1920,col 6,Training and Education Costs, 61.33% of total expenses for training and education allocated to four residents for period 7/1/2021-12/31/2021. ,24
IM,1920,col 7,Meals, 61.33% of total expenses allocated to four residents 7/1/2021-12/31/2021. ,554
IM,1920,col 8,"Memberships, Subscriptions and Professional Activity Costs"," 61.33% of total expenses for dues , subscriptions and professional activities allocated to four residents for period 7/1/2021-12/31/2021. ",3865
IM,1920,col 9,"Salaries, Benefits and Wages for Other GME Staff", 61.33% of total Salaries and Wages for Program Coordinator allocated to four residents for period 7/1/2021-12/31/2021. ,4039
IM,1920,col 10,"Salaries, Benefits and Wages for Other GME Staff", 61.33% of total paid benefits for Program Coordinator allocated to four residents in period 7/1/2021-12/31/2021 ,1220
IM,1920,col 11,Medical Equipment, 61.33% of total expenses allocated to four residents 7/1/2021-12/31/2021. ,471
IM,1920,col 1,"Salaries, Benefits and Wages for Faculty", Dr. Poast Salary 6 months ,80000
IM,1920,col 2,"Salaries, Benefits and Wages for Faculty", Dr. Nassir 6 months ,50000
IM,1920,col 3,"Salaries, Benefits and Wages for Faculty", Dr. Mueller 3 months ,20000
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", Bland Ahmed- Resident Salary and Benefits ,37500
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Victor Lei Resident Salary ,25000
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Kasie Dorr - Resident Salary July 1, 2021 - December 31, 2021 ",30763.25
FM,1920,col 2,"Salaries, Benefits and Wages for Residents"," Isak Elkayam - Resident Salary July 1, 2021 - December 31, 2021 ",6736.75
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", 7/01/2021-12/31/2021 for Resident Salaries ,25000
FM,2021,col 1,Licensing Fees, USMLE Step3 Expenses - expansion resident - Filiberto Morales ,895
FM,2021,col 2,Licensing Fees, MBCA Postgraduate Training License - expansion resident ,491
FM,2021,col 3,"Salaries, Benefits and Wages for Residents", Expansion PGY1 resident salary and benefits ,23299.5
FM,2021,col 4,"Salaries, Benefits and Wages for Faculty", Dr. Michaela Staley - inpatient family medicine faculty ,2160
FM,2021,col 5,"Salaries, Benefits and Wages for Faculty", Dr. Michaela Staley - continuity clinic faculty ,360
FM,2021,col 6,"Salaries, Benefits and Wages for Faculty", Dr. Michaela Staley - continuity clinic faculty ,720
FM,2021,col 7,Meals, Winter Wellness Event at The Living Coast Discovery Center- Two invoices dated 11/11/21 and 12/13/21 ,2074.5
EM,2021,col 1,Medical Equipment, WOW's - mobile work computers for residents ,92000
EM,2021,col 2,Information Technology (IT) Systems, SIM equipment ,12445
EM,2021,col 3,"Salaries, Benefits and Wages for Faculty", faculty salaries ,69255
EM,2021,col 4,Faculty Development, Harvard Research Conference ,2100
EM,2021,col 5,Faculty Development, Ultrasound Conference ,7200
EM,2021,col 6,Travel Conferences, CORD Emergency Medicine Conference ,3500
EM,2021,col 7,Training and Education Costs, American Board of Emergency Medicine ITE ,1000
EM,2021,col 1,"Salaries, Benefits and Wages for Residents", Salary &amp; Benefits from 7/1/21 to 12/31/21 for 1 resident ,29975
EM,2021,col 2,"Memberships, Subscriptions and Professional Activity Costs", 2022 Council of Residency Directors in Emergency Medicine (CORD) Membership ,775
EM,2021,col 3,Information Technology (IT) Systems," Laptops for 5 Incoming Residents ($1,192.16/each) requesting partial cost) ",5400
EM,2021,col 4,Information Technology (IT) Systems, Cell Phone Stipend from 7/1/21 to 12/31/21 for 3 Residents ,1350
IM,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs", ACP Memberships &amp; digital MKSAP purchased for IM residents ,6914.7
IM,2021,col 2,Training and Education Costs, Yale Office-Based Curriculum purchased for residents &amp; teaching faculty ,600
IM,2021,col 3,"Memberships, Subscriptions and Professional Activity Costs", Up-To-Date subscription for IM residents ,2847
IM,2021,col 4,Training and Education Costs, Dress code and recruitment - Program jackets purchased for residents &amp; program administration ,2845.68
IM,2021,col 5,Training and Education Costs, Complete MKSAP packages purchased for IM teaching faculty ,7564.5
IM,2021,col 6,Training and Education Costs, MKSAP hard-copies purchased for IM residents to go with previously purchased digital access ,2745.34
IM,2021,col 7,Information Technology (IT) Systems, Laptop purchased for IM program for use in didactics &amp; presentations ,1547.7
IM,2021,col 8,Training and Education Costs, Use of the SIM Lab on the UCR campus for IM residents SIM lab 9/22/21 ,4766
IM,2021,col 9,Medical Equipment, 3 ultrasound systems for IM resident training/workshops ,11979.18
IM,2021,col 10,Training and Education Costs, IM Residency Program resident &amp; faculty wellness event ,2618.33
IM,2021,col 11,Faculty Development, Registration fees for a member of teaching faculty to access Duke University's virtual Teaching and Leading Evidence-based Practice Workshop ,700
IM,2021,col 12,Meals, Reimbursement for faculty member who hosted a resident/faculty mentorship and well-being event ,203.41
IM,2021,col 13,Meals, Reimbursement for faculty member who hosted a resident/faculty mentorship and well-being event ,258.15
IM,2021,col 14,Faculty Development, Reimbursement for APD's registration for 7th Annual Stanford 25 Bedside Teaching Seminars ,1200
IM,2021,col 15,Training and Education Costs, UWorld step 3 q-bank 1 year subscription purchase for 10 residents ,4690
IM,2021,col 16,Training and Education Costs, IM resident reimbursement for purchase of Sandford Guide 1-year subscription ,39.99
IM,2021,col 17,Training and Education Costs, IM resident reimbursement for PTL license fees and COMLEX level 3 exam fee ,1430
IM,2021,col 18,Training and Education Costs, IM resident reimbursement for step 3 exam fee ,895
IM,2021,col 19,Training and Education Costs, IM resident reimbursement for UWorld step 3 question bank ,449
IM,2021,col 20,Training and Education Costs, IM resident reimbursement for COMLEX level 3 exam fee ,890
IM,2021,col 21,Training and Education Costs, IM resident reimbursement for COMLEX level 3 exam fee and ACLS certification renewal ,1040
IM,2021,col 22,Training and Education Costs, IM resident reimbursement for COMLEX level 3 exam fee ,890
IM,2021,col 23,Meals, Reimbursement for faculty member who hosted a resident/faculty mentorship and well-being event ,127.07
IM,2021,col 24,Training and Education Costs, IM Resident In-Training exam fees ,1690
IM,2021,col 25,Training and Education Costs," IM Residency Program annual Fall retreat for residents, faculty, &amp; program administration: lodging, meals, conference rooms &amp; equipment for didactics/speakers, organized team-building activities. Didactics for resident well-being and diversity, equity and inclusion ",13415.03
IM,2021,col 26,"Memberships, Subscriptions and Professional Activity Costs", Up-To-Date subscription for chief resident ,559
IM,2021,col 27,Training and Education Costs, Dress code and recruitment - Program jackets purchased for IM faculty mentors ,1797.27
IM,2021,col 28,Medical Equipment, Tax on previously purchased ultrasound machines (10/20/21) ,928.38
